seed,horizon_frames,method,field,band,n_low,n_high,power_ratio,truth_power_weighted_transfer_coherence
baseline,8,persistence,Vi,k6_7,30,35,1.009774956279188,0.0002665765035955323
1701,8,autoregressive_lead1,Ne,k1_3,5,15,0.771229832537099,0.03541958557348636
1701,8,autoregressive_lead1,Pe,k1_3,5,15,0.7249501469476844,0.030376308235880806
1701,8,autoregressive_lead1,Pi,k1_3,5,15,0.6230138769188726,0.036184993897706144
1701,8,autoregressive_lead1,phi,k1_3,5,15,0.5469317825886664,0.07794390901516728
1701,8,autoregressive_lead1,Vi,k1_3,5,15,0.2609152873140914,0.03741434988116606
1701,8,autoregressive_lead1,Ne,k4_5,20,25,1.9880700577631705,0.016157343623922675
1701,8,autoregressive_lead1,Pe,k4_5,20,25,1.4367795429564314,0.018497726457539908
1701,8,autoregressive_lead1,Pi,k4_5,20,25,1.5503886492349548,0.015788259343885818
1701,8,autoregressive_lead1,phi,k4_5,20,25,1.665151560186695,0.015174586312625644
1701,8,autoregressive_lead1,Vi,k4_5,20,25,1.5883079940299707,0.0011939961090892952
1701,8,autoregressive_lead1,Ne,k6_7,30,35,0.9214339230164054,0.0007202677290368136
1701,8,autoregressive_lead1,Pe,k6_7,30,35,0.3846276572654346,0.001411661336034038
1701,8,autoregressive_lead1,Pi,k6_7,30,35,0.36157618091346955,0.0011890599638990115
1701,8,autoregressive_lead1,phi,k6_7,30,35,0.531541113814682,0.0004482806268692048
1701,8,autoregressive_lead1,Vi,k6_7,30,35,3.724440602380743,8.387943677725373e-06
1702,8,autoregressive_lead1,Ne,k1_3,5,15,0.5205351545852553,0.0412776157691197
1702,8,autoregressive_lead1,Pe,k1_3,5,15,0.5840897099663648,0.03240260770110436
1702,8,autoregressive_lead1,Pi,k1_3,5,15,0.4745630551909496,0.037960160288258424
1702,8,autoregressive_lead1,phi,k1_3,5,15,0.4702892827959331,0.06136738354243021
1702,8,autoregressive_lead1,Vi,k1_3,5,15,0.2672926650116296,0.03584435326110372
1702,8,autoregressive_lead1,Ne,k4_5,20,25,1.3898687668117757,0.03737404890659911
1702,8,autoregressive_lead1,Pe,k4_5,20,25,1.114344189519169,0.038434103565249414
1702,8,autoregressive_lead1,Pi,k4_5,20,25,1.1941790525944058,0.03643890896471301
1702,8,autoregressive_lead1,phi,k4_5,20,25,1.3524699184644644,0.033465083513237424
1702,8,autoregressive_lead1,Vi,k4_5,20,25,1.5940205830993306,0.0013407766709825318
1702,8,autoregressive_lead1,Ne,k6_7,30,35,0.5833073390536281,0.001097076781843186
1702,8,autoregressive_lead1,Pe,k6_7,30,35,0.31382149156606876,0.002301647775703499
1702,8,autoregressive_lead1,Pi,k6_7,30,35,0.26650388621272264,0.002394712419070212
1702,8,autoregressive_lead1,phi,k6_7,30,35,0.4076668016418801,0.0006993070090149468
1702,8,autoregressive_lead1,Vi,k6_7,30,35,1.2540309970277406,4.4714649494447585e-06
1703,8,autoregressive_lead1,Ne,k1_3,5,15,0.9025434359754548,0.05456421696969649
1703,8,autoregressive_lead1,Pe,k1_3,5,15,0.8329948007056985,0.04166481480587646
1703,8,autoregressive_lead1,Pi,k1_3,5,15,0.724115169823209,0.05102766582631979
1703,8,autoregressive_lead1,phi,k1_3,5,15,0.5969819180475197,0.07084326029730961
1703,8,autoregressive_lead1,Vi,k1_3,5,15,0.2852138555888748,0.041210066334248854
1703,8,autoregressive_lead1,Ne,k4_5,20,25,1.5338388102878835,0.033826810625527955
1703,8,autoregressive_lead1,Pe,k4_5,20,25,1.2278345345737118,0.03333955847416156
1703,8,autoregressive_lead1,Pi,k4_5,20,25,1.3270573947573419,0.03322820873654873
1703,8,autoregressive_lead1,phi,k4_5,20,25,1.3764578986334635,0.03510821482412874
1703,8,autoregressive_lead1,Vi,k4_5,20,25,0.8748305936494177,0.00397533024357743
1703,8,autoregressive_lead1,Ne,k6_7,30,35,0.8794040349326239,0.0005549350566942993
1703,8,autoregressive_lead1,Pe,k6_7,30,35,0.4977212233234105,0.0012014256891557107
1703,8,autoregressive_lead1,Pi,k6_7,30,35,0.42762390682037504,0.0009356049872675919
1703,8,autoregressive_lead1,phi,k6_7,30,35,0.4980189709365827,0.00030121237150349206
1703,8,autoregressive_lead1,Vi,k6_7,30,35,0.521423771001461,3.098910275145844e-06
1701,8,autoregressive_lead2,Ne,k1_3,5,15,0.1888114062527081,0.006305491369333914
1701,8,autoregressive_lead2,Pe,k1_3,5,15,0.21466989410923087,0.003347053959786608
1701,8,autoregressive_lead2,Pi,k1_3,5,15,0.1851072575257261,0.005753501750976886
1701,8,autoregressive_lead2,phi,k1_3,5,15,0.2006610098629187,0.029070466481779182
1701,8,autoregressive_lead2,Vi,k1_3,5,15,0.08922245334312554,0.0363703470487311
1701,8,autoregressive_lead2,Ne,k4_5,20,25,1.0292255814199223,0.024802099612591527
1701,8,autoregressive_lead2,Pe,k4_5,20,25,0.8760204418833161,0.026372837884361577
1701,8,autoregressive_lead2,Pi,k4_5,20,25,0.9690191094456959,0.027352362202209626
