seed,horizon_frames,method,pair,band,n_low,n_high,phase_error_degrees,absolute_coherence_change
1703,8,autoregressive_lead4,Pe-phi,k6_7,30,35,41.67291341818442,0.4072917391085547
1703,8,autoregressive_lead4,Pi-phi,k6_7,30,35,10.308399025341654,0.5012546656961377
1701,8,direct,Ne-phi,k1_3,5,15,8.457900415263051,0.31548639971548925
1701,8,direct,Pe-phi,k1_3,5,15,11.110686284713319,0.3048357056815388
1701,8,direct,Pi-phi,k1_3,5,15,8.530857113240405,0.33163122953362195
1701,8,direct,Ne-phi,k4_5,20,25,8.759039658086497,0.6379667402079012
1701,8,direct,Pe-phi,k4_5,20,25,5.30091422775673,0.5771675784594081
1701,8,direct,Pi-phi,k4_5,20,25,8.320622591982048,0.627730526975458
1701,8,direct,Ne-phi,k6_7,30,35,23.093755420781456,0.5014139181153036
1701,8,direct,Pe-phi,k6_7,30,35,9.141171970341192,0.41361318588760826
1701,8,direct,Pi-phi,k6_7,30,35,3.7892750703138005,0.5013577605932622
1702,8,direct,Ne-phi,k1_3,5,15,3.7519458844168128,0.32611999526013996
1702,8,direct,Pe-phi,k1_3,5,15,13.975092767730212,0.3366859842598047
1702,8,direct,Pi-phi,k1_3,5,15,6.9934427566740744,0.3429388660504094
1702,8,direct,Ne-phi,k4_5,20,25,24.576537569710084,0.6398979295970479
1702,8,direct,Pe-phi,k4_5,20,25,5.0537139407868725,0.6010291429141155
1702,8,direct,Pi-phi,k4_5,20,25,5.346130794191609,0.6134995854447853
1702,8,direct,Ne-phi,k6_7,30,35,38.9352331439628,0.506052048139509
1702,8,direct,Pe-phi,k6_7,30,35,28.913186312599034,0.43544489016212673
1702,8,direct,Pi-phi,k6_7,30,35,3.3776396572717333,0.4709949552561558
1703,8,direct,Ne-phi,k1_3,5,15,9.388992125155402,0.2975260083860889
1703,8,direct,Pe-phi,k1_3,5,15,6.229409344105938,0.29750228311023125
1703,8,direct,Pi-phi,k1_3,5,15,5.380068570857527,0.30530131185652326
1703,8,direct,Ne-phi,k4_5,20,25,11.292096314965796,0.6651490071768255
1703,8,direct,Pe-phi,k4_5,20,25,2.1766877362746917,0.558105181056069
1703,8,direct,Pi-phi,k4_5,20,25,4.567580428639998,0.5765420582721535
1703,8,direct,Ne-phi,k6_7,30,35,20.133077663951386,0.5179431553983703
1703,8,direct,Pe-phi,k6_7,30,35,21.856018943102548,0.37024035384981724
1703,8,direct,Pi-phi,k6_7,30,35,3.275448820623098,0.4338522216456867
